type,num,user.x,distance,share,use_rate.x,error,longitude.x,latitude.x,age_as_of_2014.x,area_m2.x,rental_room_operation_rate,user.y,hospital_bed,general_hospital_bed,care_hospital_bed
bunka,0,142073.8678,283552628.8,0.76387064,0.735,0.02887064,139.1884,36.227135,34,5716,23.70%,113377,NA,NA,NA
bunka,1,43918.1843,94663229.71,0.23612936,0.265,-0.02887064,139.115585,36.189682,19,3158,39.70%,40906,NA,NA,NA
byoin,0,297991.541,331578298.3,0.152029162,0.42,-0.267970838,139.187729,36.225986,25,NA,NA,NA,287,183,102
byoin,1,293568.378,322458652.8,0.149772555,0.124,0.025772555,139.165848,36.249104,11,NA,NA,NA,47,47,0
byoin,2,227720.396,327162157.5,0.116178267,0.12,-0.003821733,139.136414,36.185219,33,NA,NA,NA,55,55,0
byoin,3,446036.162,706634729.3,0.227558485,0.12,0.107558485,139.191116,36.22617,5,NA,NA,NA,109,76,33
byoin,4,441642.11,465106937.2,0.22531673,0.102,0.12331673,139.179169,36.246506,24,NA,NA,NA,51,22,29
byoin,5,253136.029,394035759.2,0.129144801,0.115,0.014144801,139.130249,36.194035,55,NA,NA,NA,42,42,0
jido,0,45422.1884,147564915.4,0.740049056,0.492,0.248049056,139.180832,36.237213,34,418,-,19800,NA,NA,NA
jido,1,15955.0785,18156877.77,0.259950944,0.508,-0.248049056,139.2005,36.235245,30,515,-,20436,NA,NA,NA
kominkan,0,47935.1421,34585649.83,0.128540862,0.304,-0.175459138,139.1884,36.227135,39,1860,21.00%,52479,NA,NA,NA
kominkan,1,26785.212,53452472.36,0.071826098,0.057,0.014826098,139.115585,36.189682,19,1110,12.90%,9822,NA,NA,NA
kominkan,2,36579.5766,26888529.1,0.098090255,0.07,0.028090255,139.19664,36.243629,32,368,26.60%,12045,NA,NA,NA
kominkan,3,42722.6263,23466061.72,0.114563199,0.077,0.037563199,139.200684,36.233234,24,450,20.80%,13321,NA,NA,NA
kominkan,4,81968.5389,66873456.49,0.219803388,0.095,0.124803388,139.172073,36.245785,26,419,27.80%,16422,NA,NA,NA
kominkan,5,29948.2524,25282012.71,0.080307975,0.084,-0.003692025,139.164383,36.226948,25,508,22.60%,14477,NA,NA,NA
kominkan,6,14352.5137,14589973.15,0.038487097,0.043,-0.004512903,139.227264,36.23555,32,399,13.00%,7472,NA,NA,NA
kominkan,7,8458.261,9046189.075,0.022681317,0.036,-0.013318683,139.209244,36.247749,33,369,9.80%,6246,NA,NA,NA
kominkan,8,9399.2292,7609470.907,0.025204578,0.018,0.007204578,139.175659,36.259705,34,383,12.80%,3174,NA,NA,NA
kominkan,9,7959.1662,3861458.661,0.021342965,0.078,-0.056657035,139.189102,36.21664,35,379,27.90%,13482,NA,NA,NA
kominkan,10,23490.5397,21386398.74,0.062991244,0.057,0.005991244,139.134216,36.189354,50,569,21.30%,9796,NA,NA,NA
kominkan,11,15494.2262,17159647.86,0.041548666,0.044,-0.002451334,139.150848,36.209389,35,402,14.70%,7612,NA,NA,NA
kominkan,12,27824.2565,24165943.36,0.074612357,0.035,0.039612357,139.135406,36.190022,43,327,11.60%,6000,NA,NA,NA
sangyoshinko,0,11170.0423,32059581.85,0.210005604,0.25,-0.039994396,139.121613,36.166382,23,248,-,9234,NA,NA,NA
sangyoshinko,1,642.2815,1415573.924,0.012075399,0.523,-0.510924601,139.088654,36.15387,10,249,-,19280,NA,NA,NA
sangyoshinko,2,41376.9345,73347949.27,0.777918998,0.227,0.550918998,139.188797,36.235722,19,318,41.20%,8371,NA,NA,NA
shiminkatsudo,0,39459.87,53258904.26,0.436240458,0.538,-0.101759542,139.186768,36.234165,34,1081,41.00%,35605,NA,NA,NA
shiminkatsudo,1,19541.597,15198501.23,0.216038097,0.243,-0.026961903,139.17099,36.242271,44,624,20.50%,16092,NA,NA,NA
shiminkatsudo,2,26917.1315,109978039.7,0.297576798,0.108,0.189576798,139.159271,36.223026,14,653,57.50%,7139,NA,NA,NA
shiminkatsudo,3,4535.8041,5550940.406,0.050144647,0.112,-0.061855353,139.178513,36.258232,29,350,-,7391,NA,NA,NA
shiryokanto,0,26210.8633,44586797.01,0.745076102,0.374,0.371076102,139.184753,36.242146,131,368,-,3168,NA,NA,NA
shiryokanto,1,5383.5706,7427076.968,0.153034631,0.071,0.082034631,139.133759,36.191277,120,176,-,604,NA,NA,NA
shiryokanto,2,3584.3394,7661268.406,0.101889266,0.555,-0.453110734,139.127274,36.194298,46,166,-,4707,NA,NA,NA
sports,0,188777.3398,218012898.8,0.336117305,0.191,0.145117305,139.17099,36.242271,35,2452,66.70%,45952,NA,NA,NA
sports,1,0,0,0,0.022,-0.022,139.179916,36.249748,33,256,42.90%,5348,NA,NA,NA
sports,2,99093.9066,138739843.9,0.176436308,0.12,0.056436308,139.179916,36.249748,28,1236,33.30%,28844,NA,NA,NA
sports,3,0,0,0,0.073,-0.073,139.194916,36.218071,20,1176,25.00%,17487,NA,NA,NA
sports,4,140568.6938,261304595.2,0.250282002,0.429,-0.178717998,139.194916,36.218071,13,7521,76.00%,103115,NA,NA,NA
sports,5,133201.2998,281639421,0.237164386,0.165,0.072164386,139.116074,36.188499,11,4439,60.00%,39792,NA,NA,NA
super,0,4539123.37,6307371356,0.438943587,0.222,0.216943587,139.182907,36.237713,24,11070,NA,NA,NA,NA,NA
super,1,706076.37,1011632137,0.068279196,0.165,-0.096720804,139.12915,36.199036,3,5278,NA,NA,NA,NA,NA
super,2,3169340.764,4427976954,0.306482484,0.243,0.063482484,139.191696,36.237656,33,12886,NA,NA,NA,NA,NA
super,3,1186706.092,1963765365,0.114757187,0.273,-0.158242813,139.130875,36.187386,16,1693,NA,NA,NA,NA,NA
super,4,739771.0251,798585850.1,0.071537546,0.096,-0.024462454,139.143204,36.190804,18,4056,NA,NA,NA,NA,NA
toshokan,0,488775.3498,845179129.2,0.75720274,0.757,0.00020274,139.18158,36.241779,33,2599,-,218090,NA,NA,NA
toshokan,1,156725.9463,342644021.9,0.24279726,0.243,-0.00020274,139.115585,36.189682,19,409,-,70118,NA,NA,NA